match_type,date,time,location,opp_team,home_away,opp_score,barca_score,barca_result,stadium,attendance,referee
4,2008-11-04,20:45,"Barcelona, Spain",Basel,H,1,1,D,Camp Nou,49479,Alexandru Tudor
5,2008-11-26,20:45,"Lisbon, Portugal",Sporting CP,A,2,5,W,Estádio José Alvalade,31765,Matteo Trefoloni
6,2008-12-09,20:45,"Barcelona, Spain",Shakhtar Donetsk,H,3,2,L,Camp Nou,22763,Mike Riley
First leg,2009-02-24,20:45,"Lyon, France",Lyon,A,1,1,D,Stade de Gerland,39258,Wolfgang Stark
Second leg,2009-03-11,20:45,"Barcelona, Spain",Lyon,H,2,5,W,Camp Nou,86368,Tom Henning Øvrebø
First leg,2009-04-08,20:45,"Barcelona, Spain",Bayern Munich,H,0,4,W,Camp Nou,93219,Howard Webb
Second leg,2009-04-14,20:45,"Munich, Germany",Bayern Munich,A,1,1,D,Allianz Arena,66000,Roberto Rosetti
First leg,2009-04-28,20:45,"Barcelona, Spain",Chelsea,H,0,0,D,Camp Nou,95231,Wolfgang Stark
Second leg,2009-05-06,20:45,"London, England",Chelsea,A,1,1,D,Stamford Bridge,37857,Tom Henning Øvrebø
Final,2009-05-27,20:45 CEST,"Rome, Italy",Manchester United,A,0,2,W,Stadio Olimpico,62467,Massimo Busacca
Friendly,2008-07-24,19:45 BST,"Edinburgh, Scotland",Hibernian,A,0,6,W,Murrayfield Stadium,23390,Craig Thomson
Friendly,2008-07-26,16:00 BST,"Dundee, Scotland",Dundee United,A,1,5,W,Tannadice Park,13000,Dougie McDonald
Memorial Artemio Franchi,2008-07-30,20:45 CEST,"Florence, Italy",Fiorentina,A,1,3,W,Stadio Artemio Franchi,40428,Italy
US Tour,2008-08-03,18:00 CDT,"Chicago, USA",Guadalajara,A,2,5,W,Soldier Field,40717,Alex Prus
US Tour,2008-08-06,19:00 EST,"East Rutherford, New Jersey, USA",New York Red Bulls,A,2,6,W,Giants Stadium,38152,Kevin Stott
Joan Gamper Trophy,2008-08-16,22:00 CEST,"Barcelona, (Spain)",Boca Juniors,H,1,2,W,Camp Nou,71210,González Vázquez
